Username;Password;Email;Firstname;UserType
Toto;Abc1234;;;regular
Joe;qwe123;;;regular


aaa;123;;;regular
aaa;123;;;regular
schpi505;Pit;;;regular
schpi505;Pit;;;regular
Toto;1234;;;regular
aaa;123;;;regular
bbb;bbb;;;regular
Tom;asd;tom@gmail.com;Tom;admin
pitlp;qwe123;schpi505@school.lu;Pit;admin
test;test;schpi505@school.lu;test;regular
test2;qwe;tom@gmail.com;test;regular
wer;asd;tom@gmail.com;tom;regular
test3;asd;tom@gmail.com;asd;regular
;;;trgfdg;;gfhfghf@school.lu;Pit;regular
zzzzzzzz;$2y$10$KoMRDH9dXTWtjfPuRFyXTem3dl9XbFBzgRG2zI.iOE9/4KcLZi142;gdsgdfgdf@gmail.nu;Pit;regular
TestA;$2y$10$pnJkVv5i6Ub86/dLXXf29eR0hnJqEqAEu95on/Lu9KaVYptpDmJEy;krasspit@gmail.com;Pit;admin
Pit;$2y$10$dqITXyichRtBbDpkaCfDSeRDEmhoRDDY1uyPUcqLBGWqevFM1iWhG;gfhfghf@school.lu;Pit;regular
Admin;$2y$10$Hy6iZOFHmRWvK8X8aHIKHeH/2dM46m/a9XFuDnZxon6v7u0bLOmR6;admin@school.lu;Admin;admin
Test;$2y$10$TZydfNWZBQOoDuSYQ4EDGu8waHUUhpbDhfXfVCWpGqa4ZFw.i5cAu;dd@dd.com;dd;regular
TestAdmin;$2y$10$5xOJlw5iC9E7QgW4MDjLFOa4CHU59TKL20Lvt7XAlQjjH5iM6PbXC;dd@dd.com;dd;admin
